metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1786705457.9782,elite,4085.5844788362,1786158153.2249,AS63023 GTHost,AS-GLOBALTELEHOST,Dallas,North America,,United States,US,,False,GTHost,32.7766,-96.7969,False,GTHost,True,Texas,success,America/Chicago,,1786155673,1786705457.9782,49252,socks5,216.106.179.216:49252,True,1805.6452274323,4940,10063,32.926747983737,216.106.179.216
True,1786705457.9098,transparent,5288.9509487561,1781745162.5871,AS201150 Didehban Net Company PJS,Didehabnnet,Sedeh Lanjān,Asia,AS,Iran,IR,,False,Didehban Net Company,32.3781,51.3057,False,,True,Isfahan,success,Asia/Tehran,,1786355875,1786705457.9098,1390,http,46.249.124.244:1390,False,7912.9931926727,6291,13450,31.867686540702,46.249.124.244
True,1786705319.3592,elite,11606.659948778,1786434943.3069,AS48314 Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,IP-PROJECTS,Bad Soden am Taunus,Europe,EU,Germany,DE,Neuenhain,True,ip-network,50.1592,8.48173,False,HostBrr Solutions,True,Hesse,success,Europe/Berlin,65812,1786435095,1786705457.7608,9097,socks5,77.90.8.154:9097,True,9391.1104202271,3781,4065,48.190160591384,77.90.8.154
True,1786705299.9975,transparent,5423.9843555508,1779315384.2705,AS41798 JSC Transtelecom,TTC-AS,Astana,Asia,AS,Kazakhstan,KZ,,False,TTC Network,51.1655,71.4272,False,,True,Astana,success,Asia/Almaty,010000,1786571532,1786705457.7064,8080,http,91.185.20.162:8080,False,1992.6431179047,16245,50374,24.384935228689,91.185.20.162
True,1786705457.47,transparent,6103.0503758429,1771687023.2683,AS137291 Diskominfo Kabupaten Trenggalek,IDNIC-TRENGGALEKKAB-ID,Tamanan,Asia,AS,Indonesia,ID,,False,Pemerintah Kabupaten Trenggalek,-8.0589,111.702,False,,True,East Java,success,Asia/Jakarta,,1786422495,1786705457.47,8080,http,103.107.117.242:8080,False,2150.7909297943,15506,92318,14.380842855023,103.107.117.242
True,1786705457.3911,transparent,5605.7584114608,1778634586.8405,AS216472 High Speed For Internet Services L.L.C,HS-SYR,Istanbul,Asia,AS,Türkiye,TR,,False,High Speed For Internet Services L.L.C,41.0725,29.0063,False,Turk Telekomunikasyon Anonim Sirketi,True,Istanbul,success,Europe/Istanbul,34870,1786496026,1786705457.3911,8080,http,131.222.251.135:8080,False,6671.1387634277,20119,53006,27.513162393162,131.222.251.135
True,1786702994.9937,transparent,4113.19992997,1783542686.721,"AS59019 Beijing Kingsoft Cloud Internet Technology Co., Ltd",BJKSCNET,Shenzhen,Asia,AS,China,CN,,True,Beijing Kingsoft Cloud Internet Technology Co,22.5429,114.06,False,"Beijing Kingsoft Cloud Internet Technology Co., Ltd.",True,Guangdong,success,Asia/Shanghai,518000,1786563656,1786705457.3058,15010,http,120.92.111.242:15010,True,4085.9267711639,41638,4881,89.50751305918,120.92.111.242
True,1786705451.8166,elite,1184.6303596272,1776078373.194,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1786361948,1786705457.2347,4145,socks5,192.111.137.35:4145,True,889.10627365112,71504,45142,61.300001714589,192.111.137.35
True,1786705457.2284,elite,2753.9286267086,1786140230.5685,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Amsterdam,Europe,EU,The Netherlands,NL,,True,"DigitalOcean, LLC",52.352,4.9392,False,"DigitalOcean, LLC",False,North Holland,success,Europe/Amsterdam,1098,1786138064,1786705457.2284,1081,socks5,161.35.90.93:1081,True,14508.35943222,26650,4123,86.60189126832,161.35.90.93
True,1786705419.7131,elite,3159.5412537873,1786311027.9328,AS41794 Sibirskie Seti Ltd.,SIBSET-BARN-AS,Moscow,Europe,EU,Russia,RU,,False,Sibirskie Seti Ltd.,55.7558,37.6173,False,ISP Sibset Barn,False,Moscow,success,Asia/Krasnoyarsk,144700,1786307363,1786705457.1852,1080,socks5,128.0.26.27:1080,True,1568.3937072754,4469,6450,40.928656470373,128.0.26.27
True,1786702102.8442,transparent,670.40231452232,1786015587.4762,AS63023 GTHost,AS-GLOBALTELEHOST,Miami,North America,,United States,US,,True,GTHost,25.7616,-80.1917,False,GTHost,False,Florida,success,America/New_York,,1786617946,1786705456.8875,3128,http,216.106.182.177:3128,True,296.88715934753,10652,590,94.751823518947,216.106.182.177
True,1786705236.6843,elite,1478.9309102136,1786521666.9917,AS16276 OVH SAS,OVH,Roubaix,Europe,EU,France,FR,,True,OVH SAS,50.6924,3.20113,False,OVH,True,Hauts-de-France,success,Europe/Paris,59100,1786518036,1786705456.8423,8001,http,79.137.78.133:8001,False,3728.6713123322,185,1342,12.115258677145,79.137.78.133
True,1786705456.7344,transparent,5472.1451397273,1784884539.4132,AS21826 Corporación Telemic C.A.,Corporacion Telemic C.A.,Tinaquillo,South America,SA,Venezuela,VE,,False,Corporación Telemic C.A.,9.91861,-68.3047,False,Corporación Telemic C.A,True,Cojedes,success,America/Caracas,,1786695653,1786705456.7344,999,http,190.142.231.5:999,False,3529.3846130371,806,12172,6.2105100940052,190.142.231.5
True,1786705456.6813,transparent,6090.5754393682,1775853792.0964,AS149360 PT Indo Telemedia Solusi,IDNIC-INTELMEDIA-AS-ID,Mranggen,Asia,AS,Indonesia,ID,,False,PT Indo Telemedia Solusi,-7.0268,110.516,False,PT Indo Telemedia Solusi,True,Central Java,success,Asia/Jakarta,,1786139680,1786705456.6813,8080,http,103.180.122.64:8080,False,1509.5384120941,20787,75272,21.639825523897,103.180.122.64
True,1786701557.8441,elite,3173.6994150785,1710634448.6805,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Tokyo,Asia,AS,Japan,JP,,True,"Alibaba (US) Technology Co., Ltd.",35.6893,139.6899,False,Alibaba.com Singapore E-Commerce Private Limited,True,Tokyo,success,Asia/Tokyo,102-0082,1786500882,1786705456.6607,3128,http,8.209.255.13:3128,True,969.29979324341,878517,242407,78.374359010959,8.209.255.13
True,1786705131.5914,elite,1471.5636675732,1765237770.9673,AS9318 SK Broadband Co Ltd,SKB-AS,Busan,Asia,AS,South Korea,KR,,False,SK Broadband Co Ltd,35.1025,129.0394,False,broadNnet,True,Busan,success,Asia/Seoul,48947,1786407902,1786705456.4593,8382,http,219.249.37.107:8382,False,803.44104766846,206861,171594,54.659338626785,219.249.37.107
True,1786705229.8838,elite,4536.9343578195,1710566116.4921,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Santa Clara,North America,,United States,US,,True,"DigitalOcean, LLC",37.3486,-121.9732,False,"DigitalOcean, LLC",True,California,success,America/Los_Angeles,95051,1786555290,1786705456.3288,80,http,138.68.235.51:80,False,1673.9463806152,187083,509349,26.863067751051,138.68.235.51
True,1786669010.4114,elite,777.7833624186,1710541373.1267,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,North America,,United States,US,,True,Alibaba.com LLC,37.4316,-78.6569,False,ALICLOUD-US,True,Virginia,success,America/New_York,22902,1786438693,1786705456.2601,3128,http,47.89.184.18:3128,True,529.21628952026,787668,163231,82.834033898448,47.89.184.18
True,1786705456.2556,transparent,7068.983883222,1710560463.9645,AS59173 Iqtera Communication Pvt Ltd,IQTERA-AS-IN,Hyderabad,Asia,AS,India,IN,,False,Iqtera Communication Pvt Ltd,17.3843,78.4583,False,Iqtera Communication Pvt Ltd,True,Telangana,success,Asia/Kolkata,500002,1786438926,1786705456.2556,83,http,103.41.88.182:83,False,5317.3739910126,62410,926370,6.3118186047452,103.41.88.182
True,1786705456.0882,transparent,8263.8307961589,1786254020.1762,AS38511 PT Remala Abadi,TACHYON-AS-ID,Bekasi,Asia,AS,Indonesia,ID,,False,PT Remala Abadi,-6.2808,106.9835,False,,False,West Java,success,Asia/Jakarta,17610,1786253625,1786705456.0882,8181,http,101.255.104.117:8181,False,9959.2890739441,1139,3275,25.804259175351,101.255.104.117
True,1786705455.9383,elite,12549.773932843,1781081692.0208,AS152992 ONLINE DATA COMPANY LIMITED,DATAONLINE-VN,Tây Hồ,Asia,AS,Vietnam,VN,,False,Online Data Company Limited,21.0712,105.8,False,DATAONLINE,True,Hanoi,success,Asia/Bangkok,,1786523608,1786705455.9383,9050,socks5,160.187.1.225:9050,True,16269.525527954,15891,55967,22.114447938991,160.187.1.225
True,1786705210.1768,anonymous,5522.1085057,1710562656.9391,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Clifton,North America,,United States,US,,True,"DigitalOcean, LLC",40.8364,-74.1403,False,Digital Ocean,True,New Jersey,success,America/New_York,07014,1786422725,1786705455.8489,80,http,167.99.124.118:80,False,4113.4684085846,191558,566361,25.274204763306,167.99.124.118
True,1786705455.8049,transparent,6976.6581510262,1785348252.7499,AS272876 EDWIN RAYMUNDO HERNÁNDEZ PEC (IMPORTADORA Y EXPORTADORA INTERCEL),EDWIN RAYMUNDO HERNANDEZ PEC (IMPORTADORA Y EXPORTADORA INTERCEL),Totonicapán,North America,,Guatemala,GT,,False,EDWIN RAYMUNDO HERNÁNDEZ PEC (IMPORTADORA Y EXPORTADORA INTERCEL),14.9449,-91.4982,False,ONC INVESTMENTS GUATEMALA,True,Totonicapán,success,America/Guatemala,08001,1786554299,1786705455.8049,999,http,181.189.27.172:999,False,9429.9533367157,2586,9559,21.292713050638,181.189.27.172
