alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1782308385.9934,elite,1842.1762955705,1776078027.6381,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1782128431,1782625304.7666,4145,socks5,98.188.47.132:4145,true,1028.5091400146,45394,2921,93.954258511849,98.188.47.132
true,1782624991.2891,anonymous,1214.0770924093,1781907081.2961,"AS4755 TATA Communications formerly VSNL is Leading ISP",TATACOMM-AS,Chennai,Asia,AS,India,IN,,false,"Tata Communications Limited",13.0895,80.2739,false,"Tata Communications Limited",true,"Tamil Nadu",success,Asia/Kolkata,600006,1782509005,1782625304.7215,57748,http,14.143.222.113:57748,true,336.66610717773,12560,635,95.18757104964,14.143.222.113
true,1782625133.3641,elite,5224.1251282899,1782235900.818,"AS211507 Julian Achter",lain,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"Julian Achter",52.3676,4.90414,false,"Julian Achter",false,"North Holland",success,Europe/Amsterdam,1012,1782233847,1782625304.5295,1080,socks5,92.119.164.84:1080,true,1600.239276886,1476,1378,51.716888577435,92.119.164.84
true,1782463652.1722,elite,465.24848329732,1781772399.718,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba.com LLC",1.35208,103.82,false,"Delta Centric LLC, Zenlayer Inc",false,"North West",success,Asia/Singapore,858877,1782374428,1782625304.45,443,http,47.84.204.82:443,false,406.38303756714,16110,13,99.919369844322,47.84.204.82
true,1782625278.5221,elite,862.61899811482,1776082204.7704,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1782126333,1782625304.3765,4145,socks4,184.170.245.148:4145,true,739.68505859375,129715,139360,48.207748768931,184.170.245.148
true,1782625215.3704,elite,3207.7571034134,1776087839.957,"AS263224 EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA","EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA",Lima,"South America",SA,Peru,PE,,false,"Empresa De Telecomunicaciones Multimedia Alfa",-12.046,-77.0305,false,"Antenas Cable Vision",true,"Lima Province",success,America/Lima,,1782133771,1782625304.3413,5678,socks4,177.91.255.35:5678,true,1913.6517047882,136681,140922,49.236139378897,177.91.255.35
true,1782625238.3737,elite,1167.6730588425,1776087463.5877,"AS4788 TM TECHNOLOGY SERVICES SDN. BHD.",TTSSB-MY,Cheras,Asia,AS,Malaysia,MY,,false,"TM TECHNOLOGY SERVICES SDN BHD",3.0609,101.7524,false,"Adsl Streamyx",true,Selangor,success,Asia/Kuala_Lumpur,43200,1782134631,1782625304.1216,1080,socks4,60.54.19.46:1080,true,949.53012466431,31794,145394,17.943653069057,60.54.19.46
true,1782625304.081,elite,2400.506120649,1696982686.2662,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Irvine,"North America",NA,"United States",US,,false,"Cox Communications Inc.",33.6846,-117.827,false,"Cox Communications",true,California,success,America/Los_Angeles,92612,1782260495,1782625304.081,4145,socks4,72.195.114.184:4145,true,800.41742324829,363314,795548,31.350928755969,72.195.114.184
true,1782625199.3928,elite,2481.5380662922,1696985504.719,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1782171677,1782625303.994,4145,socks4,184.178.172.14:4145,true,1831.4688205719,497074,800137,38.318669823182,184.178.172.14
true,1782625207.6656,elite,2321.4304075197,1776079308.4414,"AS41560 UGMK-Telecom LLC",UT-SVR,Krasnotur'insk,Europe,EU,Russia,RU,,false,"UGMK-Telecom network",59.7681,60.2145,false,,true,"Sverdlovsk Oblast",success,Asia/Yekaterinburg,624445,1782386859,1782625303.938,1080,socks5,185.13.134.202:1080,true,577.84080505371,6480,13597,32.275738407133,185.13.134.202
true,1782608299.3906,elite,1795.7379420598,1782603157.2455,"AS906 DMIT Cloud Services",DMIT,"Los Angeles","North America",NA,"United States",US,,false,"DMIT Cloud Services",34.0515,-118.2707,false,,false,California,success,America/Los_Angeles,90017,1782600935,1782625303.8781,1080,socks5,69.63.209.247:1080,true,1079.0581703186,138,2,98.571428571429,69.63.209.247
true,1782625146.1612,elite,5393.0678068245,1776085865.3966,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"DigitalOcean, LLC",52.352,4.9392,false,"DigitalOcean, LLC",true,"North Holland",success,Europe/Amsterdam,1098,1782131949,1782625303.7679,1080,socks4,128.199.37.92:1080,true,2181.6153526306,238078,114040,67.613129689479,128.199.37.92
true,1782625303.7641,elite,1012.4865358188,1782373659.6637,"AS62044 Zscaler Switzerland GmbH",ZSCALER-EMEA,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Zscaler Switzerland GmbH",50.1169,8.6837,false,"Zscaler, Inc.",false,Hesse,success,Europe/Berlin,60313,1782371090,1782625303.7641,11684,http,165.225.72.38:11684,false,401.41105651855,1666,1573,51.435628280333,165.225.72.38
true,1782624951.729,elite,843.14559701762,1782428249.5535,"AS62044 Zscaler Switzerland GmbH",ZSCALER-EMEA,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Zscaler Switzerland GmbH",50.1169,8.6837,false,"Zscaler, Inc.",false,Hesse,success,Europe/Berlin,60313,1782427555,1782625303.6595,11661,http,165.225.72.38:11661,true,421.30589485168,1304,1196,52.16,165.225.72.38
true,1782609190.281,elite,1630.0733486502,1776081093.7751,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Macon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8407,-83.6324,false,"Cox Communications Inc.",true,Georgia,success,America/New_York,31202,1782126276,1782625303.6082,4145,socks4,184.182.240.12:4145,true,873.21877479553,475209,1111,99.766753443063,184.182.240.12
true,1782625303.5245,elite,2966.1595060634,1780207330.3533,"AS50340 JSC Selectel",SELECTEL-MSK,Moscow,Europe,EU,Russia,RU,,true,"JSC Selectel",55.7487,37.6187,false,Selectel,true,Moscow,success,Europe/Moscow,129323,1782624977,1782625303.5245,1080,socks5,193.39.168.88:1080,true,1490.8621311188,8957,10174,46.819298520726,193.39.168.88
true,1782625303.5218,elite,1157.9712218034,1776088991.7981,"AS58821 PT Lintas Jaringan Nusantara",IDNIC-LJN-AS-ID,Palembang,Asia,AS,Indonesia,ID,,false,"PT Lintas Jaringan Nusantara",-2.9146,104.7535,false,"PT Javas Digital Telekomunikasi",true,"South Sumatra",success,Asia/Jakarta,30154,1782133843,1782625303.5218,2021,socks4,157.10.97.83:2021,true,932.19876289368,113576,132007,46.247500844928,157.10.97.83
true,1782625303.4457,elite,2321.0829774321,1696984547.9976,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1782459900,1782625303.4457,4145,socks4,98.188.47.132:4145,true,790.02451896667,400770,845001,32.170439029324,98.188.47.132
true,1782623921.5783,elite,974.9720344561,1779821478.7035,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"Alibaba.com LLC",22.273,114.1498,false,"Hong Kong",true,"Central and Western District",success,Asia/Hong_Kong,999077,1782237722,1782625303.407,2233,http,47.242.243.198:2233,true,650.96688270569,46690,1563,96.760823161254,47.242.243.198
true,1782617714.3442,elite,2274.3965428728,1776081958.7435,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Macon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8407,-83.6324,false,"Cox Communications Inc.",true,Georgia,success,America/New_York,31202,1782127184,1782625303.3556,4145,socks5,184.182.240.211:4145,true,2697.8335380554,50500,130,99.743235236026,184.182.240.211
true,1782618320.9029,transparent,477.7884727966,1782201047.6039,"AS211826 Istqrar for Servers Services Ltd",ISTQSERVERS-AS,Columbus,"North America",NA,"United States",US,,false,"Istqrar for Servers Services Ltd",39.9612,-82.9988,false,Ipx,false,Ohio,success,America/New_York,43215,1782199813,1782625303.1309,3128,http,45.153.4.154:3128,true,100.68035125732,8216,127,98.477765791682,45.153.4.154
true,1782625303.0221,elite,903.83427196119,1777105767.7651,"AS135649 PT Apci Network Solutions",IDNIC-APCI-AS-ID,Cirebon,Asia,AS,Indonesia,ID,,false,"PT Apci Network Solutions",-6.8698,108.6414,false,"Indonesia Network Information Center",true,"West Java",success,Asia/Jakarta,45186,1782548500,1782625303.0221,1081,socks4,160.250.226.94:1081,true,876.46627426147,81349,122219,39.961585317928,160.250.226.94
true,1782623866.2973,elite,2692.5344404133,1782613717.5031,"AS12198 JSMSR Network",JSMSR-LLC,Taipei,Asia,AS,Taiwan,TW,,false,"JSMSR Network",25.033,121.565,false,Ipxo,false,Taiwan,success,Asia/Taipei,,1782612078,1782625302.9358,50161,socks4,2.27.149.172:50161,true,1336.4515304565,870,2,99.770642201835,2.27.149.172
true,1782558260.4085,transparent,3116.6201898896,1775985413.0295,"AS29355 Kcell JSC",KCELL-AS,Almaty,Asia,AS,Kazakhstan,KZ,,false,"Kcell JSC",43.2525,76.9115,true,"""KCell"" JSC",true,Almaty,success,Asia/Almaty,050000,1782033631,1782625302.8991,3129,http,2.78.60.10:3129,true,794.84009742737,121506,1797,98.542614534926,2.78.60.10
true,1782625047.1773,elite,1451.1503547648,1782195785.6309,"AS24940 Hetzner Online GmbH",HETZNER-AS,"Frankfurt Am Main",Europe,EU,Germany,DE,,true,"Hetzner Online AG",50.094,8.4971,false,"Hetzner Online AG",false,Hesse,success,Europe/Berlin,65931,1782194961,1782625302.896,84,socks4,91.107.182.124:84,true,3328.5493850708,21883,5301,80.499558563861,91.107.182.124
true,1782625233.7413,elite,4331.1764794755,1780698115.6797,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7485,-84.3871,false,"Global Internet Solutions LLC",true,Georgia,success,America/New_York,30301,1782510895,1782625302.8759,1081,socks4,92.118.112.25:1081,true,2436.2921714783,72523,35363,67.221882357303,92.118.112.25
true,1782625302.769,elite,914.87702522728,1776079151.8265,"AS46562 Performive LLC",PERFORMIVE,"El Segundo","North America",NA,"United States",US,,true,PacketExchange,33.9263,-118.394,false,"Total server solutions",true,California,success,America/Los_Angeles,90245,1782126324,1782625302.769,4145,socks4,67.201.39.14:4145,true,800.78530311584,141809,137114,50.841630127311,67.201.39.14
true,1782625302.6224,elite,3869.0586994323,1710640624.1838,"AS37215 Malawi Research and Education Network - MAREN",MAREN,Zomba,Africa,AF,Malawi,MW,,false,"Malawi Research and Education Network - MAREN",-15.3766,35.3357,false,"Malawi College of Accountancy - Mzuzu Campus",true,"Southern Region",success,Africa/Blantyre,305200,1782165302,1782625302.6224,5678,socks4,41.70.106.1:5678,true,1177.7396202087,133426,649308,17.046148500001,41.70.106.1
true,1782625244.8831,elite,4723.2742570675,1776634787.6043,"AS4134 CHINANET BACKBONE",CHINANET-BACKBONE,Hangzhou,Asia,AS,China,CN,,false,Chinanet,30.2674,120.171,false,,true,Zhejiang,success,Asia/Shanghai,310000,1782077196,1782625302.5827,1080,socks4,122.224.198.218:1080,true,2254.4724941254,301715,52119,85.270211455089,122.224.198.218
true,1782625302.577,elite,5523.3809107611,1776492955.9835,"AS210976 Timeweb, LLP",TWC-EU,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"Timeweb, LLP",52.364,4.866,false,"TimeWeb Ltd",true,"North Holland",success,Europe/Amsterdam,1053,1782539066,1782625302.577,40760,socks4,185.125.203.104:40760,true,3759.2070102692,68867,155445,30.701433717322,185.125.203.104
true,1782625302.5057,elite,3524.4852396941,1781757955.8005,"AS139967 PT. Yasmin Amanah Media",YAMNET-AS-ID,Wonogiri,Asia,AS,Indonesia,ID,,false,YAMNET,-7.81444,110.921,false,,false,"Central Java",success,Asia/Jakarta,,1782360414,1782625302.5057,1081,socks4,103.146.185.81:1081,true,1944.5519447327,9140,24369,27.276254140679,103.146.185.81
true,1782624396.7567,elite,1666.6355990359,1779524880.8826,"AS210644 AEZA GROUP LLC",AEZA-AS,Helsinki,Europe,EU,Finland,FI,,false,"Aeza International LTD",60.1719,24.9347,false,"Aeza Group LLC",true,Uusimaa,success,Europe/Helsinki,00201,1782548704,1782625302.479,1080,socks5,193.29.224.20:1080,true,164.20555114746,15660,8305,65.345295222199,193.29.224.20
true,1782624838.3683,elite,1187.6884257039,1781243139.3555,"AS24940 Hetzner Online GmbH",HETZNER-AS,"Frankfurt Am Main",Europe,EU,Germany,DE,,true,"Hetzner Online AG",50.094,8.4971,false,"Hetzner Online AG",false,Hesse,success,Europe/Berlin,65931,1782451231,1782625302.3932,82,socks5,91.107.182.124:82,true,651.29160881042,11280,2169,83.872406870399,91.107.182.124
true,1782615716.5855,elite,1190.0173153386,1782615716.5855,"AS12198 JSMSR Network",JSMSR-LLC,Taipei,Asia,AS,Taiwan,TW,,false,"JSMSR Network",25.033,121.565,false,Ipxo,false,Taiwan,success,Asia/Taipei,,1782612078,1782625302.3652,50161,socks4,2.27.149.171:50161,true,3197.4120140076,718,0,100,2.27.149.171
true,1782625302.2841,elite,4071.7293793222,1776089010.3724,"AS3269 Telecom Italia S.p.A.",ASN-IBSNAZ,Furnari,Europe,EU,Italy,IT,,false,"Telecom Italia S.p.A",38.1031,15.1206,false,INTERBUSINESS,true,Sicily,success,Europe/Rome,98054,1782133802,1782625302.2841,48293,socks4,2.115.212.62:48293,true,4202.1322250366,142366,140505,50.328948531309,2.115.212.62
true,1782624821.075,elite,2203.1677655016,1780939095.5101,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Jakarta,Asia,AS,Indonesia,ID,,true,"Alibaba (US) Technology Co., Ltd.",-6.2114,106.8446,false,"Alibaba.com Singapore E-Commerce Private Limited",false,Jakarta,success,Asia/Jakarta,12850,1782145180,1782625302.282,2080,socks4,8.215.25.3:2080,true,1059.752702713,47708,33295,58.896584077133,8.215.25.3
true,1782625302.2806,elite,872.39512893288,1781724631.3564,"AS7552 Viettel Group",VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,false,"Viettel Corporation",21.0278,105.834,false,VIETEL,false,Hanoi,success,Asia/Bangkok,,1782328880,1782625302.2806,1080,socks4,171.248.208.210:1080,true,943.04776191711,14591,22727,39.099094270861,171.248.208.210
true,1782625302.092,transparent,5789.1696714627,1762377574.7385,"AS58821 PT Lintas Jaringan Nusantara",IDNIC-LJN-AS-ID,Batam,Asia,AS,Indonesia,ID,,false,"PT Lintas Jaringan Nusantara",1.1425,104.0125,false,"PT Jaringan Kabel Nusantara",true,Riau,success,Asia/Jakarta,29444,1782340638,1782625302.092,8080,http,103.193.144.41:8080,true,585.42394638062,33580,270240,11.052596932394,103.193.144.41
true,1782624956.4038,elite,1870.1299486934,1782594919.2956,"AS20473 The Constant Company, LLC",AS-VULTR,Atlanta,"North America",NA,"United States",US,,true,"The Constant Company",33.7838,-84.4455,false,"Vultr Holdings, LLC",false,Georgia,success,America/New_York,30318,1782591365,1782625302.0411,1081,socks5,155.138.165.60:1081,true,2685.2610111237,185,6,96.858638743456,155.138.165.60
true,1782625301.9522,elite,2526.6790075324,1697035420.0374,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1782196464,1782625301.9522,4145,socks4,184.181.217.220:4145,true,927.88648605347,486132,721158,40.266381730984,184.181.217.220
true,1782625301.856,elite,2127.7320904668,1782554825.6784,"AS62044 Zscaler Switzerland GmbH",ZSCALER-EMEA,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Zscaler Switzerland GmbH",50.1169,8.6837,false,"Zscaler, Inc.",false,Hesse,success,Europe/Berlin,60313,1782551740,1782625301.856,10382,http,165.225.72.38:10382,false,1009.9387168884,523,466,52.881698685541,165.225.72.38
true,1782625301.8355,elite,938.0022183858,1696966773.6419,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,,true,"Performive LLC",34.0549,-118.243,false,"Performive LLC",true,California,success,America/Los_Angeles,90009,1782087491,1782625301.8355,4145,socks4,142.54.236.97:4145,true,815.5357837677,321738,844828,27.579922610465,142.54.236.97
true,1782599347.4034,elite,1649.4368154929,1776079653.542,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Macon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8407,-83.6324,false,"Cox Communications Inc.",true,Georgia,success,America/New_York,31202,1782126264,1782625301.7587,4145,socks4,184.182.240.211:4145,true,875.27298927307,477752,513,99.892737289996,184.182.240.211
true,1782625251.7502,elite,4837.349697613,1780384981.3667,"AS200350 Yandex.Cloud LLC",YandexCloud,Moscow,Europe,EU,Russia,RU,"Tsentralnyy administrativnyy okrug",false,"Yandex.Cloud LLC",55.7341,37.5887,false,"Yandex.Cloud LLC",true,Moscow,success,Europe/Moscow,101194,1782198806,1782625301.7128,6101,socks4,89.169.168.25:6101,true,1153.9583206177,116464,25005,82.324749591783,89.169.168.25
true,1782625301.6749,elite,1662.8312094329,1780790558.1766,"AS213877 U1 DIGITAL SERVICES LTD",U1DS-AS,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"U1 DIGITAL SERVICES LTD",52.3716,4.8883,false,"u1host Amsterdam",false,"North Holland",success,Europe/Amsterdam,1012,1782604408,1782625301.6749,1080,socks4,144.31.70.112:1080,true,5209.002494812,5841,51529,10.181279414328,144.31.70.112
true,1782625301.634,elite,3344.5929247923,1776079862.7041,"AS23991 Ranks ITT Ltd.",RANKS-AS-BD,Dhaka,Asia,AS,Bangladesh,BD,,false,"Ranks ITT",23.7571,90.404,false,"Ranks ITT Ltd.",true,"Dhaka Division",success,Asia/Dhaka,1208,1782126328,1782625301.634,5678,socks4,202.40.177.94:5678,true,949.54919815063,130338,144078,47.496501661711,202.40.177.94
true,1782625150.2572,elite,4122.2668379613,1780927425.2255,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Paris,Europe,EU,France,FR,,false,"Global Connectivity Solutions LLP",48.8558,2.3494,false,"Global Connectivity Solutions LLP",false,Île-de-France,success,Europe/Paris,75001,1782133708,1782625301.6291,1082,socks4,62.133.62.231:1082,true,3186.2037181854,64663,32011,66.887684382564,62.133.62.231
true,1782625301.5786,elite,5543.1315923194,1782241005.6653,"AS210644 AEZA GROUP LLC",AEZA-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,false,"Aeza International LTD",50.1169,8.6837,false,"Aeza International LTD",false,Hesse,success,Europe/Berlin,60313,1782238581,1782625301.5786,9999,socks4,109.120.138.62:9999,true,584.73205566406,4121,10546,28.097088702529,109.120.138.62
true,1782616931.7856,elite,917.86939527359,1782616931.7856,"AS38136 Akari Networks",AKARI-NETWORKS-AS-AP,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"Akari Networks",22.273,114.1498,false,"Akari Networks Limited",true,"Central and Western District",success,Asia/Hong_Kong,,1782614620,1782625301.5762,3615,http,163.53.18.10:3615,false,830.0940990448,163,0,100,163.53.18.10
true,1782625218.6533,elite,2344.0267511004,1769020419.8555,"AS31200 Novotelecom Ltd",NTK,Novosibirsk,Europe,EU,Russia,RU,,false,"Novotelecom Ltd",55.0386,82.9425,false,"Novotelecom ltd.",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1782112782,1782625301.5426,1090,socks4,37.193.125.68:1090,true,380.96952438354,178758,122176,59.40106468528,37.193.125.68
true,1782625285.5252,elite,4309.1692848771,1780696372.1373,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7485,-84.3871,false,"Global Internet Solutions LLC",false,Georgia,success,America/New_York,30301,1782508617,1782625301.5335,1081,socks4,92.118.112.32:1081,true,4521.4023590088,71925,36128,66.564556282565,92.118.112.32
true,1782625301.4443,elite,906.8600634712,1710543142.1577,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1782498142,1782625301.4443,14287,socks4,192.252.208.67:14287,true,732.21874237061,268954,889895,23.208718305836,192.252.208.67
